Feature,Importancia_RF,Rank_RF,MI_Score,Rank_MI,Correlacion,Rank_Corr,Rank_Promedio
H2H_Home_Win_Rate,0.00733781890918633,53,0.04020627591775505,19,0.18664740644252817,35,35.666666666666664
AT_Form_GA,0.014251097342674386,34,0.024831918129406105,31,0.1635227871316127,42,35.666666666666664
HT_Wins_Last5,0.0052932010594393016,63,0.040933299628810316,18,0.21223753153515668,27,36.0
H2H_Win_Advantage,0.008967983209132868,49,0.025101657455532722,30,0.20510554158520697,30,36.333333333333336
HT_Form_W,0.00566737857699423,61,0.03826579919504569,22,0.21513531903763555,26,36.333333333333336
Season_Progress,0.02099081272619462,15,0.023076059391344383,33,0.015349483288158767,63,37.0
HT_Form_GF,0.011951751900547303,45,0.022581648029004642,34,0.19859685757408685,32,37.0
H2H_Goal_Diff,0.01432093915608759,33,0.005522990653314297,56,0.21187219896699977,28,39.0
Favorito_Confianza,0.017290886190401054,28,0.01853984421451882,41,0.14871938934441245,48,39.0
HT_Position,0.012369815164239179,43,0.0040509473071648205,58,0.251632970246862,17,39.333333333333336
AT_Form_W,0.005772887277277044,60,0.03841906472966117,21,0.169441775243649,39,40.0
Prob_Move_Total,0.022871092940332113,9,0.00534291528925257,57,0.047390626098856616,57,41.0
AT_Form_GF,0.012467499607175365,42,0.017237948171243245,42,0.16492155346522913,41,41.666666666666664
H2H_Home_Consistent,0.008801424715723472,50,0.02123074245632872,36,0.16493105091084956,40,42.0
Prob_Move_H,0.02252292106207027,12,0.0,60,0.054145133618523876,55,42.333333333333336
Prob_Move_A,0.020897400565902217,18,0.009363644337767596,51,0.04648539760647378,59,42.666666666666664
H2H_Home_Goals_Avg,0.013172257744806895,39,0.016522965565456404,44,0.15036193585864377,47,43.333333333333336
AT_Form_Pts,0.010380228314946886,47,0.015250874838144801,46,0.1778535923430916,37,43.333333333333336
AT_AvgGoals,0.011871453975759276,46,0.01671977083493692,43,0.15803062614971186,44,44.333333333333336
HT_Form_GA,0.013583645897988925,37,0.008700316749506998,53,0.15273420878646898,46,45.333333333333336
Prob_Max,0.01706938401896317,30,0.0027182534311782636,59,0.14871938934441245,49,46.0
H2H_Away_Goals_Avg,0.013019935844377153,40,0.01445475472783575,48,0.12332425594161807,52,46.666666666666664
AT_Form_D,0.0076042480460636365,51,0.022376906509203653,35,0.050403149459285396,56,47.333333333333336
HT_Form_L,0.007062023989511932,55,0.007656402890762193,55,0.19280526001646672,33,47.666666666666664
H2H_Total_Goals_Avg,0.014242507541629252,35,0.01059821153303031,50,0.01324784807607868,64,49.666666666666664
AT_Wins_Last5,0.005554909113794254,62,0.008844997643340013,52,0.17449842691153003,38,50.666666666666664
H2H_Matches,0.007277988616844754,54,0.014972354808483912,47,0.06954162617362185,54,51.666666666666664
HT_Form_D,0.0074992178199541825,52,0.01876478387274383,40,0.005689474596283173,66,52.666666666666664
AT_Form_L,0.005953946123371851,58,0.012972340817351435,49,0.14236099083849746,51,52.666666666666664
H2H_Home_Wins,0.005245586311566649,64,0.0,61,0.18768527519898864,34,53.0
H2H_Away_Wins,0.006746771887840433,56,0.0,63,0.10613158332232868,53,57.333333333333336
H2H_BTTS_Rate,0.00996042274356862,48,0.0,65,0.008717761320918735,65,59.333333333333336
H2H_Draws,0.005886134018281212,59,0.0,62,0.04656997509568756,58,59.666666666666664
Position_Reliability,0.006620772344773081,57,0.0,66,0.025662278877942434,61,61.333333333333336
H2H_Available,0.0011509545770642979,66,0.0,64,0.031187974270043214,60,63.333333333333336
