Feature,Importancia,Porcentaje,Porcentaje_Acumulado,Modelo
HT_xGA_Global,0.011926266620123319,1.1926266620123318,46.18050876479861,1X2 Sin Cuotas
HT_xGA_EWM5,0.011875101430402064,1.1875101430402064,47.36801890783882,1X2 Sin Cuotas
AT_ShotsTarget_EWM5,0.011867291742857316,1.1867291742857315,48.55474808212455,1X2 Sin Cuotas
Form_Momentum_Diff,0.011866841045635672,1.1866841045635672,49.741432186688115,1X2 Sin Cuotas
H2H_Goal_Diff,0.011860861963300924,1.1860861963300924,50.92751838301821,1X2 Sin Cuotas
AT_xG_Global,0.011630802775121716,1.1630802775121716,52.09059866053038,1X2 Sin Cuotas
AT_GoalsFor_EWM5,0.011618683502776004,1.1618683502776004,53.25246701080798,1X2 Sin Cuotas
AT_xG_EWM5,0.01136243184108217,1.136243184108217,54.3887101949162,1X2 Sin Cuotas
HT_Pts_EWM5,0.011269590086970926,1.1269590086970926,55.51566920361329,1X2 Sin Cuotas
HT_ShotsTarget_EWM5,0.011192392674343871,1.1192392674343872,56.63490847104768,1X2 Sin Cuotas
AT_Form_Momentum,0.011185644727778707,1.1185644727778707,57.75347294382555,1X2 Sin Cuotas
AT_AvgShotsTarget,0.011092970031598603,1.1092970031598604,58.86276994698541,1X2 Sin Cuotas
AT_xGA_Global,0.011078303590206338,1.1078303590206338,59.97060030600604,1X2 Sin Cuotas
H2H_Home_Goals_Avg,0.011067700426398317,1.1067700426398317,61.07737034864587,1X2 Sin Cuotas
xG_Global_Diff,0.011065860921783053,1.1065860921783053,62.183956440824176,1X2 Sin Cuotas
HT_AvgShotsTarget,0.01102525856447429,1.102525856447429,63.286482297271604,1X2 Sin Cuotas
HT_xG_Avg_3,0.010920579848891866,1.0920579848891867,64.37854028216078,1X2 Sin Cuotas
Ref_Yellow_Avg,0.010791334914688899,1.07913349146889,65.45767377362968,1X2 Sin Cuotas
Ref_Away_Yellow,0.010724692381620788,1.0724692381620788,66.53014301179176,1X2 Sin Cuotas
HT_Form_Momentum,0.01014397701139564,1.014397701139564,67.54454071293132,1X2 Sin Cuotas
HT_Position,0.010118124901242247,1.0118124901242247,68.55635320305555,1X2 Sin Cuotas
AT_xG_Avg_3,0.010093640429641811,1.009364042964181,69.56571724601973,1X2 Sin Cuotas
Ref_Goals_Avg,0.010017473324662457,1.0017473324662458,70.56746457848598,1X2 Sin Cuotas
HT_Points,0.010013023664651595,1.0013023664651595,71.56876694495114,1X2 Sin Cuotas
Ref_Home_Yellow,0.009999605271631958,0.9999605271631958,72.56872747211433,1X2 Sin Cuotas
Season_Progress,0.009836469914877612,0.9836469914877611,73.55237446360209,1X2 Sin Cuotas
AT_Points,0.009520281814023162,0.9520281814023162,74.5044026450044,1X2 Sin Cuotas
Momentum_Diff,0.00930635473611957,0.9306354736119569,75.43503811861636,1X2 Sin Cuotas
AT_Position,0.008936261841216925,0.8936261841216925,76.32866430273805,1X2 Sin Cuotas
Match_Type,0.008814483131276552,0.8814483131276551,77.2101126158657,1X2 Sin Cuotas
H2H_Away_Goals_Avg,0.008747693009479933,0.8747693009479933,78.08488191681369,1X2 Sin Cuotas
Ref_Home_WinRate,0.00865952656154475,0.865952656154475,78.95083457296816,1X2 Sin Cuotas
