fecha,local,visitante,resultado_predicho,prob_modelo,cuota_apertura,cuota_cierre,prob_apertura_fair,prob_cierre_fair,clv,edge_vs_apertura,edge_vs_cierre,resultado_real,acierto,stake,cuota_apostada,pnl,pnl_acumulado,timestamp
2024-12-30 00:00:00,Aston Villa,Brighton,Local,0.3943,1.9,1.85,0.4932,0.5125,0.0193,-0.0988,-0.1182,1,False,10.0,1.9,-10.0,34895.2,2026-03-14T00:34:45.150992
2024-12-30 00:00:00,Ipswich,Chelsea,Visitante,0.786,1.42,1.4,0.659,0.6757,0.0167,0.127,0.1103,0,False,10.0,1.42,-10.0,34885.2,2026-03-14T00:34:45.153618
2025-01-01 00:00:00,Brentford,Arsenal,Visitante,0.7892,1.44,1.55,0.6559,0.6098,-0.046,0.1333,0.1793,2,True,10.0,1.44,4.4,34889.6,2026-03-14T00:34:45.155653
2025-01-04 00:00:00,Crystal Palace,Chelsea,Visitante,0.4735,1.91,1.91,0.497,0.495,-0.0021,-0.0235,-0.0215,1,False,10.0,1.91,-10.0,34879.6,2026-03-14T00:34:45.157640
2025-01-04 00:00:00,Southampton,Brentford,Visitante,0.4513,2.4,2.1,0.3991,0.4485,0.0495,0.0523,0.0028,2,True,10.0,2.4,14.0,34893.6,2026-03-14T00:34:45.159481
2025-01-04 00:00:00,Man City,West Ham,Local,0.5632,1.3,1.22,0.7239,0.7676,0.0437,-0.1607,-0.2044,0,True,10.0,1.3,3.0,34896.6,2026-03-14T00:34:45.161305
2025-01-04 00:00:00,Tottenham,Newcastle,Empate,0.4348,3.8,4.5,0.2495,0.2103,-0.0392,0.1854,0.2245,2,False,10.0,3.8,-10.0,34886.6,2026-03-14T00:34:45.166179
2025-01-04 00:00:00,Brighton,Arsenal,Visitante,0.488,1.8,1.75,0.5275,0.5446,0.0171,-0.0395,-0.0566,1,False,10.0,1.8,-10.0,34876.6,2026-03-14T00:34:45.168515
2025-01-04 00:00:00,Bournemouth,Everton,Local,0.6192,1.73,1.67,0.5478,0.5639,0.0161,0.0715,0.0554,0,True,10.0,1.73,7.3,34883.9,2026-03-14T00:34:45.170422
2025-01-04 00:00:00,Aston Villa,Leicester,Local,0.6515,1.33,1.33,0.7152,0.7093,-0.0058,-0.0637,-0.0578,0,True,10.0,1.33,3.3,34887.2,2026-03-14T00:34:45.172258
2025-01-05 00:00:00,Fulham,Ipswich,Local,0.5591,1.55,1.53,0.6103,0.6176,0.0073,-0.0512,-0.0584,1,False,10.0,1.55,-10.0,34877.2,2026-03-14T00:34:45.174208
2025-01-05 00:00:00,Liverpool,Man United,Local,0.6915,1.29,1.36,0.7312,0.7,-0.0312,-0.0396,-0.0084,1,False,10.0,1.29,-10.0,34867.2,2026-03-14T00:34:45.176137
2025-01-06 00:00:00,Wolves,Nott'm Forest,Empate,0.4465,3.2,3.5,0.2975,0.2708,-0.0267,0.149,0.1757,2,False,10.0,3.2,-10.0,34857.2,2026-03-14T00:34:45.178598
2025-01-14 00:00:00,Brentford,Man City,Visitante,0.5394,1.62,1.6,0.5791,0.5932,0.0141,-0.0397,-0.0538,1,False,10.0,1.62,-10.0,34847.2,2026-03-14T00:34:45.182362
2025-01-14 00:00:00,Chelsea,Bournemouth,Local,0.5893,1.48,1.5,0.6417,0.6244,-0.0173,-0.0524,-0.0351,1,False,10.0,1.48,-10.0,34837.2,2026-03-14T00:34:45.184646
2025-01-14 00:00:00,Nott'm Forest,Liverpool,Visitante,0.5114,1.62,1.62,0.587,0.587,0.0,-0.0756,-0.0756,1,False,10.0,1.62,-10.0,34827.2,2026-03-14T00:34:45.186537
2025-01-14 00:00:00,West Ham,Fulham,Visitante,0.4287,2.38,2.35,0.4011,0.4007,-0.0003,0.0276,0.0279,0,False,10.0,2.38,-10.0,34817.2,2026-03-14T00:34:45.188364
2025-01-15 00:00:00,Arsenal,Tottenham,Local,0.6439,1.4,1.36,0.6818,0.7,0.0182,-0.0379,-0.0561,0,True,10.0,1.4,4.0,34821.2,2026-03-14T00:34:45.190219
2025-01-15 00:00:00,Everton,Aston Villa,Visitante,0.442,2.3,2.25,0.4121,0.4188,0.0067,0.0299,0.0232,2,True,10.0,2.3,13.0,34834.2,2026-03-14T00:34:45.192011
